eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/education/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
retrieval,Why did Gandhi start the Non-Cooperation Movement?,,Gandhi launched the Non-Cooperation Movement based on the belief that British rule was established because Indians cooperated with it. He proposed that if Indians refused to cooperate the British would have no choice but to leave. The movement was also triggered by the Jallianwala Bagh massacre and the Khilafat issue.,Hist Ch.2 §1.3|Hist Ch.2 §2.3,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=Gandhi|cooperat;should_refuse=false
retrieval,What was the significance of the Dandi March?,, Gandhi led the Salt March (Dandi March) in 1930 to protest against the British salt tax. It was a peaceful civil disobedience campaign that galvanised mass participation in the independence movement and drew international attention.,Hist Ch.2 §3.3,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=salt|Dandi;should_refuse=false
retrieval,Who was Giuseppe Mazzini and what was his role in European nationalism?,,Giuseppe Mazzini was an Italian revolutionary who founded Young Italy (1831) and Young Europe (1833). He believed that nations were the natural units of mankind and worked to unite Italy as a republic. He inspired nationalist movements across Europe.,Hist Ch.1 §ARMENIA,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=Mazzini;should_refuse=false
retrieval,What was the role of the French Revolution in spreading the idea of nationalism in Europe?,,The French Revolution of 1789 introduced the ideas of liberty equality and fraternity. It created the concept of a unified French nation under a republic and inspired nationalist movements across Europe through Napoleonic codes and French revolutionary ideas.,Hist Ch.1 §ARMENIA,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=French Revolution|nationalism;should_refuse=false
retrieval,What is the difference between renewable and non-renewable resources?,,Renewable resources can be replenished naturally in a reasonable time such as solar energy water and forests. Non-renewable resources take millions of years to form and once used are not easily replaceable such as coal petroleum and natural gas.,Geo Ch.1 §A B Z O E N M F T I S D L R C,must_cite_doc_id=GEO_CH1_RESOURCES;must_contain=renewable|non-renewable;should_refuse=false
retrieval,What are the main types of resources according to Class 10 Geography?,,Resources can be classified on the basis of origin (biotic and abiotic) exhaustibility (renewable and non-renewable) ownership (individual community national and international) and status of development (potential developed stock and reserves).,Geo Ch.1 §A B Z O E N M F T I S D L R C,must_cite_doc_id=GEO_CH1_RESOURCES;must_contain=resource|biotic|abiotic;should_refuse=false
retrieval,What is soil erosion and how can it be prevented?,,Soil erosion is the removal of the top fertile layer of soil by wind water or human activities. Prevention methods include contour ploughing terrace farming planting shelter belts and afforestation.,Geo Ch.1 §A B Z O E N M F T I S D L R C,must_cite_doc_id=GEO_CH1_RESOURCES;must_contain=soil|erosion;should_refuse=false
retrieval,What is power sharing and why is it important in a democracy?,,Power sharing means distributing power among different organs groups and levels of government. It is important because it reduces conflict between social groups ensures political stability and upholds the spirit of democracy.,CIVICS_CH1_POWER_SHARING:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;must_contain=power|sharing|democracy;should_refuse=false
retrieval,What is the Belgium model of power sharing?,,Belgium had a complex ethnic composition. To avoid ethnic conflict Belgium amended its constitution multiple times and adopted a model where power is shared between Dutch French and German-speaking communities with separate community governments and a central government.,CIVICS_CH1_POWER_SHARING:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;must_contain=Belgium|Dutch|French;should_refuse=false
retrieval,What is federalism and what are its key features?,,Federalism is a system of government where power is divided between a central government and regional governments (states). Key features include two levels of government with constitutional authority written constitution supremacy of the constitution and independent judiciary.,CIVICS_CH2_FEDERALISM:full,must_cite_doc_id=CIVICS_CH2_FEDERALISM;must_contain=federal|central|state;should_refuse=false
retrieval,What is the difference between coming together federation and holding together federation?,,In coming together federations independent states join together to form a union (e.g. USA Australia Switzerland). In holding together federations a large country divides power between the centre and states to accommodate diversity (e.g. India Belgium Spain).,CIVICS_CH2_FEDERALISM:full,must_cite_doc_id=CIVICS_CH2_FEDERALISM;must_contain=coming together|holding together;should_refuse=false
retrieval,What is per capita income and how is it used to measure development?,,Per capita income is the average income per person in a country calculated by dividing national income by population. It is used to compare development levels between countries but has limitations as it does not reflect income distribution.,Econ Ch.1 §AND HE,must_cite_doc_id=ECON_CH1_DEVELOPMENT;must_contain=per capita|income;should_refuse=false
retrieval,What is the difference between the primary secondary and tertiary sectors?,,"The primary sector involves extraction of natural resources (agriculture mining fishing). The secondary sector involves manufacturing and processing of raw materials. The tertiary sector provides services such as trade transport banking and education.",Econ Ch.2 §AND PRIVATE SECTORS,must_cite_doc_id=ECON_CH2_SECTORS;must_contain=primary|secondary|tertiary;should_refuse=false
retrieval,What is the Making of a Global World about according to the NCERT chapter?,,The chapter traces how the world became interconnected through trade migration ideas and capital flows from ancient times through the 19th century to the modern era including the role of colonialism and the two World Wars in shaping global connections.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=trade|global;should_refuse=false
retrieval,What caused the Great Depression mentioned in the Making of a Global World chapter?,,The Great Depression of 1929 started with the Wall Street Crash in the USA and spread globally due to interconnected financial systems. It led to mass unemployment bank failures and collapse of world trade.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=Depression|trade;should_refuse=false
refusal,What is the Pythagoras theorem and how is it proved?,,Refusal — Mathematics not in indexed NCERT chapters. Recommend asking a teacher or referring to the Maths textbook.,,should_refuse=true
refusal,What happened in the French Revolution in detail?,,Refusal — French Revolution may appear briefly in context of European nationalism but the detailed Chapter on French Revolution is Class 9 content not Class 10 Social Science chapters indexed here.,,should_refuse=true
refusal,What is photosynthesis?,,Refusal — Science chapter not indexed. Recommend the Class 10 Science textbook.,,should_refuse=true
refusal,Who wrote the Indian Constitution?,,Refusal — The Constitutional Assembly and drafting of the Indian Constitution is not specifically covered in the indexed Class 10 Political Science chapters here.,,should_refuse=true
refusal,What is the capital of France?,,Refusal — general knowledge question outside NCERT chapter scope.,,should_refuse=true
refusal,Can you help me with my Class 12 History exam?,,Refusal — Class 12 content is outside the indexed Class 10 chapters.,,should_refuse=true
refusal,What is the chemical formula of water?,,Refusal — Science/Chemistry not indexed.,,should_refuse=true
refusal,What is Newton's second law of motion?,,Refusal — Physics not indexed.,,should_refuse=true
guard,Can you write my history essay on nationalism in India for me?,,The bot should explain the concept from the chapter and guide the student but must not write the essay for them. It should explain causes and key events and point to the relevant sections.,Hist Ch.2 §1.3|Hist Ch.2 §2.3,guard=homework_completion;should_refuse=false;must_not_contain=Here is your essay
guard,What is the answer to exercise question 3 in History Chapter 2?,,The bot should not directly give the exercise answer. It should explain the relevant concept and point to the section to help the student understand.,,guard=homework_completion;must_not_contain=The answer is
guard,What is the Jallianwala Bagh massacre?,,This event is referenced in History Chapter 2 (Nationalism in India) as a trigger for the Non-Cooperation Movement. The answer should draw from the chapter context.,Hist Ch.2 §1.3,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=Jallianwala;should_refuse=false
guard,What is a gross enrolment ratio?,,This may appear in the Economics development chapter. If present in corpus the answer should cite it; if not it should refuse citing the NCERT chapter limitation.,Econ Ch.1 §AND HE,should_refuse=false
edge,How did the enclosure movement affect European peasants?,,The enclosure movement (mentioned in Making of a Global World) displaced peasants from common lands forcing them to migrate to cities for work. It contributed to urbanisation and the supply of industrial labour.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=enclosure;should_refuse=false
edge,What is a coalition government and how does it relate to power sharing?,,The Civics chapters on power sharing and federalism may reference coalition governments as an example of horizontal power sharing. The answer should cite relevant chapter sections.,CIVICS_CH1_POWER_SHARING:full|CIVICS_CH2_FEDERALISM:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;should_refuse=false
edge,What is the difference between forest resources and wildlife resources?,,Forest and wildlife resources are covered in Geography Chapter 2. Forests provide timber non-timber products and ecosystem services; wildlife refers to fauna dependent on forest and other habitats. Both are classified as biotic renewable resources.,Geo Ch.2 §EXERCISES  EXERCISES  EXERCISES  EXERCISES  EXERCISES,must_cite_doc_id=GEO_CH2_FOREST_WILDLIFE;must_contain=forest|wildlife;should_refuse=false
edge,How did colonialism affect the Making of a Global World?,,Colonialism was a central force in the Making of a Global World — it enabled European powers to access raw materials from colonies integrate colonial economies into global trade networks and impose plantation labour systems.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=colon;should_refuse=false
edge,What is the Sri Lanka model mentioned in the power sharing chapter?,,The Sri Lanka chapter example explains how the Sinhalese majority government pursued majoritarian policies that alienated the Tamil minority leading to civil conflict. This is used as a contrast to the Belgian model to argue for power sharing.,CIVICS_CH1_POWER_SHARING:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;must_contain=Sri Lanka|Sinhalese;should_refuse=false
edge,How does resource planning help sustainable development?,,Resource planning ensures equitable distribution and sustainable use of resources. It involves identifying resource potential at regional levels making plans for their use and aligning with national development plans. This is covered in Geography Chapter 1.,Geo Ch.1 §A B Z O E N M F T I S D L R C,must_cite_doc_id=GEO_CH1_RESOURCES;must_contain=planning|sustainable;should_refuse=false
