eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/insurance/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
retrieval,What does Saral Jeevan Bima cover?,,Saral Jeevan Bima is a non-linked non-participating pure risk term life insurance plan that provides payment of Sum Assured in lump sum to the nominee in the event of the Life Assured's death during the policy term.,SJB cl.1,must_cite=SJB cl.1;must_contain=death|Sum Assured;should_refuse=false
retrieval,Is there a maturity benefit under Saral Jeevan Bima?,,No. Saral Jeevan Bima is a pure term insurance plan with no maturity benefit payable if the policyholder survives the policy term.,SJB cl.7,must_cite=SJB cl.7;must_contain=no|maturity;should_refuse=false
retrieval,What happens to the nominee under Saral Jeevan Bima if the policyholder dies?,,Upon the death of the Life Assured during the policy term the Sum Assured is paid in lump sum to the nominee as stated in the policy.,SJB cl.1,must_cite=SJB cl.1;must_contain=nominee|Sum Assured;should_refuse=false
retrieval,What does Saral Suraksha Bima cover for accidental death?,,Saral Suraksha Bima covers accidental death and pays the sum insured to the beneficiary. It also covers permanent total disability and permanent partial disability arising from accidents.,SSB cl.1|SSB cl.2,must_contain=accidental;should_refuse=false
retrieval,What is covered under permanent total disability in Saral Suraksha Bima?,,Saral Suraksha Bima provides 100% of the sum insured for permanent total and absolute disablement as specified in the policy schedule.,SSB cl.4,must_contain=disability|100;should_refuse=false
retrieval,What are the general exclusions under Saral Suraksha Bima?,,The general exclusions include death injury or disablement arising from war radioactive/nuclear hazards and other specified events. The policy also excludes compensation for causes listed under the general exclusions applicable to the personal accident section.,SSB cl.3|SSB cl.4,must_cite=SSB cl.3;must_contain=exclusion;should_refuse=false
retrieval,What documents are required for making a death claim under Saral Suraksha Bima?,,The claims procedure requires notifying the insurer's call centre immediately and submitting documentation including a claim form Death Certificate Original FIR Original Panchnama and Post Mortem report.,SSB cl.3,must_cite=SSB cl.3;must_contain=death certificate|FIR;should_refuse=false
retrieval,What happens if a fraudulent claim is made under Saral Suraksha Bima?,,All benefits under the policy shall be forfeited and the policy treated as void if any fraudulent claims are made or fraudulent means are used by the insured or anyone acting on their behalf.,SSB cl.4,must_cite=SSB cl.4;must_contain=fraud|forfeited;should_refuse=false
retrieval,What is the premium structure for Arogya Sanjeevani Policy?,,The Arogya Sanjeevani Policy document in the indexed corpus is an IRDAI amendment circular relating to sum insured extension and premium filing. It references premium rate tables to be filed on a certification basis for revised sum insured slabs.,Arogya cl.3,must_cite=Arogya cl.1;must_contain=premium;should_refuse=false
retrieval,What is the sum insured range under the Arogya Sanjeevani Policy?,,"The indexed Arogya document references sum insured between Rs. 1 lakh and Rs. 5 lakhs as the standard range, with the amendment allowing extended sum insured slabs.",Arogya cl.2,must_cite=Arogya cl.2;must_contain=sum insured;should_refuse=false
retrieval,What is the nuclear or radioactive exclusion under Saral Suraksha Bima?,,The policy excludes death injury or disablement caused by radioactive toxic explosive or hazardous properties of any nuclear assembly or nuclear component.,SSB cl.3,must_cite=SSB cl.3;must_contain=radioactive|nuclear;should_refuse=false
retrieval,What is the personal accident claims procedure under Saral Suraksha Bima?,,Upon any accident that may give rise to a claim the insured's representative shall give notice to the insurer's call centre immediately and also intimate in writing to the policy-issuing office.,SSB cl.3,must_cite=SSB cl.3;must_contain=accident|notice|claim;should_refuse=false
retrieval,Who is Arogya Sanjeevani Policy offered by?,,The Arogya Sanjeevani Policy is a standard health insurance product mandated by IRDAI to be offered by all General and Health insurers as referenced in the indexed regulatory document.,Arogya cl.1,must_cite=Arogya cl.1;must_contain=IRDAI|insurer;should_refuse=false
retrieval,What is Saral Suraksha Bima in simple terms?,,Saral Suraksha Bima is a standard personal accident insurance policy that covers accidental death permanent total disability and permanent partial disability. It pays out defined benefit amounts based on the type and extent of disability.,SSB cl.1|SSB cl.2,must_contain=accident|disability;should_refuse=false
retrieval,What is the Saral Jeevan Bima plan type?,,Saral Jeevan Bima is a non-linked non-participating individual pure risk premium life insurance plan — meaning there is no investment component and no participation in insurer profits.,SJB cl.1,must_cite=SJB cl.1;must_contain=non-linked|non-participating;should_refuse=false
refusal,What is the hospitalisation cover under Arogya Sanjeevani?,,"Refusal — the indexed Arogya document is the IRDAI amendment circular only; it does not contain full hospitalisation benefit terms. Answer should either refuse or note the limitation and advise referring to the actual policy document.",,should_refuse=true
refusal,What is the room rent limit under Arogya Sanjeevani?,,Refusal — room rent terms not present in indexed document.,,should_refuse=true
refusal,What is the co-payment clause in Arogya Sanjeevani?,,Refusal — co-payment terms not in indexed corpus.,,should_refuse=true
refusal,What is the waiting period for pre-existing diseases under Arogya Sanjeevani?,,Refusal — waiting period terms not present in the indexed amendment circular.,,should_refuse=true
refusal,What does a motor insurance third-party policy cover?,,Refusal — motor insurance not indexed.,,should_refuse=true
refusal,What is the surrender value of Saral Jeevan Bima?,,Refusal — Saral Jeevan Bima is a pure term plan with no surrender value and this is not explicitly stated in the indexed document.,,should_refuse=true
refusal,What is the grace period for premium payment under Saral Jeevan Bima?,,Refusal — grace period terms not present in the indexed corpus.,,should_refuse=true
refusal,What is covered under home insurance in India?,,Refusal — home insurance not indexed.,,should_refuse=true
guard,Is suicide covered under Saral Jeevan Bima?,,The answer should check for the suicide clause in the corpus. The indexed Saral Jeevan Bima document contains a suicide-related clause — the answer should cite and explain it. This is an exclusion-type guard case.,SJB cl.1,guard=exclusion;must_contain=suicide;should_refuse=false
guard,Is war damage excluded under Saral Suraksha Bima?,,The policy contains general exclusions. War may be listed as an exclusion — the answer should cite the applicable exclusion clause and flag this as not covered.,SSB cl.3|SSB cl.4,guard=exclusion;must_contain=exclusion;should_refuse=false
guard,What happens if I provide false information in my claim under Saral Suraksha Bima?,,The policy provides for forfeiture of all benefits and the policy becoming void if fraudulent claims or means are used. This is an exclusion/guard case.,SSB cl.4,guard=exclusion;must_contain=fraud|forfeited|void;should_refuse=false
guard,Does nuclear damage get covered under Saral Suraksha Bima?,,No — radioactive toxic explosive or hazardous properties of any nuclear assembly or nuclear component are explicitly excluded from coverage.,SSB cl.3,guard=exclusion;must_contain=nuclear|excluded;should_refuse=false
edge,What is the difference between Saral Jeevan Bima and Saral Suraksha Bima?,,Saral Jeevan Bima is a term life insurance covering death risk only. Saral Suraksha Bima is a personal accident policy covering accidental death disability and injury. Both are IRDAI-standard products but cover different risk types.,SJB cl.1|SSB cl.1,should_refuse=false;must_contain=life|accident
edge,Can I get both Saral Jeevan Bima and Saral Suraksha Bima?,,The indexed corpus does not address combination or eligibility stacking of these products. The answer should cite what is available and note the limitation.,SJB cl.1|SSB cl.1,should_refuse=false
edge,What is IRDAI and what role does it play in Arogya Sanjeevani?,,IRDAI (Insurance Regulatory and Development Authority of India) mandated the Arogya Sanjeevani Policy as a standard product to be offered by all general and health insurers. The indexed document is an IRDAI regulatory circular.,Arogya cl.1,must_cite=Arogya cl.1;must_contain=IRDAI;should_refuse=false
